GNL GENERAL K 135_Airways
TBS ?? HK Timbis_Air
TWF CLOUD_RUNNER EG 247_Jet_Ltd
SEC SECUREX K 3D_Aviation
MLA MILE-AIR K 40-Mile_Air
PIU PRIMA FA 43_Air_School
ASD ?? HE Air_Sinai
SEK ?? LR Star_East_Airline
AIJ ABC_Aerolineas MM Interjet
XRC ?? DT Express_Air_Cargo
RYA RYAN_AIR K Ryan_Air_Services
BRO BROADSWORD EG 2Excel_Aviation
GBT GLOBETROTTER LO A-Jet_Aviation_Aircraft_Management
AJR JET_MONGOLIA ZM A-Jet_Aviation_Company
SFM AIR_SAFAR DN A-Safar_Air_Services
AJJ ATLANTIC_JET K A2_Jet_Leasing
XXV ?? SL AASANA
ATW DEVIL EB Air_Antwerp
TTX TWISTER K Alliance_Air_Charters
ATT ATTAWASOL_AIR HL Attawasol_Airlines
CCM CORSICA LF Air_Corsica
AHS HIGH_SKY OP AHS_Air_International
ROH ?? DG Aberdair_Aviation_Ghana
ROO AERO_ROA MM Aero_Roa
AWF ?? K Aeroforward
SUP SUN_SPEED K Aeronautical_Charters
PSO AEROPEGASO MM Aerotaxis_Pegaso
EIN SHAMROCK EI Aer_Lingus
VLB VOLTA LB Air_Volta
WAS ?? OR Air-Watania
TEW TEAMWORK FA Airteam_Charter
STT STAR_CHARTER OE Alpha_Star_Charter
LBZ ?? WI Angkasa_Super_Service
HEZ ARROW LL Arrow_Aviation
DRO ADRO_SERVICIOS MM Adro_Servicios_Aereos
RVQ REVA_AIR K Aero_Jet_International
ASK MULTISKY LE Aerosky
AEH AEROCUTTER LJ Aero4m
ERO AEROECOM SV Aeroecom
XAU PEARL HU Aerolink_Uganda
NKY AEROMON MM Aeromonkey
AWP ?? OP Aeroworld_Pakistan
AGA GEOLINE UG AG_Air
ABZ ISLAND_LIFEFLIGHT MY Air_Ambulance_Services
ROU ROUGE CY Air_Canada_Rouge
CNM MENGYUAN ZY Air_China_Inner_Mongolia
VRE COTE_DIVORIE DI Air_Côte_d'Ivoire
AWL ?? LM Air_Walser
AXY LEGEND LM Air_X_Charter
OES ART_AUSTRIA LO ART_Aviation
ASF AUSTRIAN_AIRFORCE LO Austrian_Air_Force
AVG AVILEF GB Aviation_Legacy
AZY AZTEC_WORLD K Aztec_Worldwide_Airlines
AAB ABG EB Abelag_Aviation
SII ASEISA MM Aero_Servicios_Ejecutivos_Internacionales
BZS BINIZA MM Aero_Biniza
ABM ALBATROS_ESPANA LE Aero_Albatros
AAM ?? LU Aim_Air
AAO ATLANTIS_AIR K Atlantis_Airlines_(USA)
AAR ASIANA ZK Asiana_Airlines
AAS AL-ASS OP Askari_Aviation
AAV ASTRO-PHIL K Astro_Air_International
AAW AFRIQIYAH HL Afriqiyah_Airways
BRL BRASD'OR CY Air_Brasd'or
AHN AIR_HUNGARIA LH Air_Hungaria
AHK AIR_HONG_KONG VH Air_Hong_Kong
AHS AIRSAR LI Air_Viggi_San_Raffaele
AEQ LUNA ES Air_Express
ACU AFRISPIRIT HK Air_Cargo_Transportation_System
ALK Sri_Lanka ?? SriLankan_Airlines
AEA EUROPA LE Air_Europa
ASX AIRSPEC LK Air_Special
AMU AIR_MACAO ?? Air_Macau
SEY SEYCHELLES FS Air_Seychelles
BRF AIR_BRAVO HU Air_Bravo
AFR AIRFRANS LF Air_France
ACG AIR_PARTNER EG Air_Partner
ACI AIRCALIN LF Air_Caledonie_International
ALN CHICAGO_LINCOLN K Air_Lincoln
ACM WEST_CAL CY Air_Caledonia
AGM AIR_GUAM K Air_Guam
AWI WISCONSIN K Air_Wisconsin
ALU LUXORJET ?? Air_Luxor_STP
RSI AIR_SUNSHINE K Air_Sunshine
AFS ?? EG Air_Data
AFV AFRIQUE_VACANCE ?? Air_Afrique_Vacancies
AJX AIR_JAPAN RJ Air_Japan
ANT AIR_NORTH CY Air_North_Charter_-_Canada
ANV AIR_NEVADA K Air_Nevada
AOE ?? LI Air_One_Executive
AML MALAWI FW Air_Malawi
AMN MONTENEGRO ?? Air_Montenegro
AVZ AIR_VALENCIA LE Air_Valencia
AMO AIR_MONTREAL CY Air_Montreal_(Air_Holdings_Inc.)
AMS AIR_MUSKOKA CY Air_Muskoka
AOJ ASTERIX LO Avcon_Jet
AJU AIRJETSUL LP Air_Jetsul
AKA ?? ZK Air_Korea_Co._Ltd.
ABN ?? GO Air_Fret_Senegal
AGV AIR_GLACIERS LS Air_Glaciers
MVM PEGASUS K Air_Cargo_America
AMY AIR_AMBAR MD Air_Ambar
AOU AIR_TRACTOR LD Air_Tractor
APA CAN-AM CY Air_Park_Aviation_Ltd.
APG AIR_PEOPLE VT Air_People_International
ANA ALL_NIPPON RJ All_Nippon_Airways
NGO AIR_ANGOL FN Air-Angol
TWG TWINGOOSE ED air-taxi_Europe
SNC NIGHT_CARGO K Air_Cargo_Carriers
SND ARSAM UT Air_Samarkand
SNY AIR_SANDY CY Air_Sandy
AII INTEGRA CY Air_Integra
BDM BANDAMA DI Air_Bandama
APV AIR_PLAN FZ Air_Plan_International
ARX AIREX K Air_Xpress,_Inc.
HTT HOTEL_TANGO FT Air_Tchad
ARZ AIR_RESORTS K Air_Resorts
ASB AIR_SPRAY CY Air-Spray_1967_Ltd.
ASC AIR_STAR CY Air_Star_Corporation
ASD AIR_SINAI HE Air_Sinai
ARC ?? K Air_Routing_International_Corp.
ARR AIR_ARMENIA UG Air_Armenia
AIC AIRINDIA VI Air_India_Limited
AIG ?? FO Air_Inter_Gabon
SPM SAINT-PIERRE LF Air_Saint_Pierre
ATJ SNOOPY ED Air_Traffic_GmbH
ATN AIR_TRANSPORT K Air_Transport_International
ATQ MULTI EH Air_Transport_Schiphol
ATS ?? FZ Air_Transport_Service
AVG DJIBOUTI_FALCON HD Air_Falcon
AUX ?? HU Air_Uganda_International_Ltd.
AVN AIR_VAN NV Air_Vanuatu
ABD ATLANTA BI Air_Atlanta_Icelandic
AIE AIR_INUIT CY Air_Inuit
AIS SURESTE LE Air_Sureste
THT TAHITI_AIRLINES LF Air_Tahiti_Nui
NMB NAMIBIA FY Air_Namibia
NSK INTERSALONIKA LG Air_Intersalonika
SGA AIR_SAIGON VV Air_Saigon
AFW BLACKSTAR DG Africa_World_Airlines
AWN AIR_NIAMEY DR Air_Niamey
AWT AIR_WEST CY Air_West
FWI FRENCH_WEST LF Air_Caraïbes
AXB EXPRESS_INDIA VI Air_India_Express
AXD AIR_SUDEX HS Air_Express
BSB ARBAS LU Air_Wings
BTI AIRBALTIC EV Air_Baltic
ANI NIGALANTIC DN Air_Atlantic_(Nig)_Limited
ANE AIR_NOSTRUM LE Air_Nostrum
ANG NIUGINI AY Air_Niugini
ABY ARABIA OM Air_Arabia
ACA AIR_CANADA CY Air_Canada
LAV ALBASTAR LE AlbaStar
MHS AIR_MEMPHIS HE Air_Memphis
AZF AIR_ZERMATT LS Air_Zermatt_AG
AZW AIR_ZIMBABWE FV Air_Zimbabwe
MHU MEPHIS_UGANDA HU Air_Memphis
MKH AIR_MARRAKECH GM Air_Marrakech_Service
ATA ?? K Air_Transport_Association
ATC TANZANIA HT Air_Tanzania
XAC ?? K Air_Charter_World
VBW BURKINA DF Air_Burkina
ATH AIR_TRAVEL K Air_Travel_Corp.
AMC AIR_MALTA LM Air_Malta
ASN ?? UU Air_and_Sea_Transport
ASS AIR_CLASS MM Air_Class,_S.A._de_C.V.
NPR ?? NZ Air_Napier
WAM TAXI_CARGO HS Air_Taxi_&_Cargo
RSM AIR_SOMALIA ?? Air_Somalia
AWZ ?? HS AirWest
AAY ALLEGIANT K Allegiant_Air
ABB AFRICAN_BUSINESS FZ African_Business_and_Transportations
ABF SKYWINGS EF Aerial_Oy
ABG ABAKAN-AVIA UU Abakan-Avia
TUS Turismo SB ABSA_Cargo
ABJ ?? SB Abaeté_Linhas_Aéreas
ACR AEROCENTER LE Aerocenter,_Escuela_de_Formación_de_Pilotos_Privados_de_Avión
ABV ANTRAK DG Antrak_Air
ACD ACADEMY K Academy_Airlines
ACP ASTRAL_CARGO HK Astral_Aviation
ACY ATLAS_CARGOLINES GM Atlas_Cargo_Airlines
TID ?? CY Air_Tindi
ADG AEREA_TRAINING LE Aerea_Flying_Training_Organization
ADI AUDELI LE Audeli_Air
ADL COTSWOLD EG Aero_Dynamics
ADN AERODIENST ED Aero-Dienst
ADP AERODIPLOMATIC MM Aerodiplomatic
ADY AERODYNE K Aerodyne
ADS SONORAV MM Aviones_de_Sonora
ADU AIRDEAL EF Airdeal_Oy
ADX ANDAX K Anderson_Aviation
AEE AEGEAN LG Aegean_Airlines
AEJ KHAKI_EXPRESS HT Air_Express
AEK AEROCON SL Aerocon
AEM AEROMADRID LE Aero_Madrid
AEO AERO_OCCIDENTE MM Aeroservicios_Ejecutivos_Del_Occidente
AEP AEROTEC LE Aerotec_Escuela_de_Pilotos
AER ACE_AIR K Alaska_Central_Express
AAH ALOHA K Aloha_Air_Cargo
AAK ALASKA_ISLAND K Alaska_Island_Air
AAL AMERICAN K American_Airlines
AAC ARMYAIR EG Army_Air_Corps
AEV AEROVENTAS MM Aeroventas
AEZ AERIAL_TRANZ K Aerial_Transit
AFA BLUE_ALFA LK Alfa_Air
UTY UNITY YM Alliance_Airlines
UVT AUVIA WI Auvia_Air
AFC AFRICAN_WEST GO African_West_Air
AFE AIRFAST WI Airfast_Indonesia
AFG ARIANA OA Ariana_Afghan_Airlines
AFI AFRICAWORLD GB Africaone
AFK AFRICA_LINKS GF Africa_Air_Links
AFL AEROFLOT UU Aeroflot_Russian_Airlines
AFO AERO_EMPRESA MM Aero_Empresa_Mexicana
AFQ ALBA LI Alba_Servizi_Aerotrasporti
AFY AFRICA_CHARTERED DN Africa_Chartered_Services
AFZ AFREIGHT FL Africa_Freight_Services
AGA ?? SV Aeronaves_Del_Centro
AGC AGRICO HE Arab_Agricultural_Aviation_Company
SLI COSTERA MM Aeroméxico_Connect
AGH ALTAGNA LF Altagna
AGO ANGOLA_CHARTER FN Angola_Air_Charter
AGP AIR_TARA EI AERFI_Group
AGT AMADEUS LE Amadeus_IT_Group
AGU SARMA UU Angara_Airlines
BLZ AEROLOZ MM Aero_Barloz
BNB AEROBANOBRAS MM Aero_Banobras
AGY FLIGHT_GROUP K Aero_Flight_Service
AGZ AGROLET LZ Agrolet-Mci
AHE AIRPORT_HELICOPTER LS Airport_Helicopter_Basel,_Muller_&_Co.
CJE BIRD_JET LF Aeroservices_Corporate
AHF ASPEN K Aspen_Helicopters
AHH AIRHOLD EI Airplanes_Holdings
AHP AEROCHIAPAS MM Aerochiapas
AHU ABC_HUNGARY LH ABC_Air_Hungary
AHY AZAL UB Azerbaijan_Airlines
AIA AVIES EE Avies
AIB AIRBUS_INDUSTRIE LF Airbus_Industrie
AIH AIR_INCHEON RK Air_Incheon
ASV AIR_SEOUL RK Air_Seoul
AIJ ABC_AEROLINEAS MM ABC_Aerolíneas
AIK AFRICAN_AIRLINES HK African_Airlines_International_Limited
AIN FLY_CARGO FD African_International_Airways
AIP ALPINE_AIR K Alpine_Air_Express
AIU ALIA LE Alicante_Internacional_Airlines
ABQ PAKBLUE OP Airblue
THM THAI_AIRMARK VT Airmark_Aviation
AIT ?? EE Airest
AIV AIRVIAS SB Airvias_S/A_Linhas_Aéreas
BES BIRD_EXPRESS LF Aero_Services_Executive
AIW TARTAN CY Atlantic_Island_Airways
AIX CRUISER YM Aircruising_Australia
AIY AIRCREW YM Aircrew_Check_and_Training_Australia
AIZ ARKIA LL Arkia_Israel_Airlines
AJA AFGHAN_JET OA Afghan_Jet_International_Airlines
AJB AERO_JBR MM Aero_JBR
AJF AVIACONSULT LO Avia_Consult_Flugbetriebs
AJI AMERISTAR K Ameristar_Jet_Charter
AJK BAMBI DN Allied_Air
AJP AEROJETS MM Aero_Jets_Corporativos
AJT AMERIJET K Amerijet_International
AJW ALPHAJET K Alpha_Jet_International
AKB KARAB UA Aktjubavia
AKC ARCA SK Arca_Aerovías_Colombianas_Ltda.
AKF ANIKAY UA Anikay_Air_Company
AKH AKHAL UT Akhal
MNI AEROMIL MM Aeromilenio
AKK AKLAK CY Aklak_Air
AKL ?? NG Air_Kiribati
AKN ALKAN_AIR CY Alkan_Air
ALB ALBATROS MM Aero_Albatros
ALD ALBION EG Albion_Aviation
ALF ACEFORCE EB Allied_Command_Europe_(Mobile_Force)
BTS AEROLINEAS_ALBATROS MM Aerotaxis_Albatros
FYS AMERICAN_FLYERS K American_Flyers
DFA AERO_COACH K Aero_Coach_Aviation
BVR BAVARIAN ED ACM_Air_Charter
ALG AIRLOG K Air_Logistics
ALL VALLARTA MM Aerovallarta
TNO AEROUNION MM Aerotransporte_de_Carga_Union
TND TAXIS_CESSNA MM Aero_Taxis_Cessna
TMP TEMPE K Arizona_Express_Airlines
ALP ALLPOINTS ZY Allpoints_Jet
ALQ ALTAIR CY Altair_Aviation_(1986)
ALV AEROPOSTAL SV Aeropostal_Alas_de_Venezuela
ALW ALNACIONAL MD Alas_Nacionales,_S.A.
ALY ALYESKA K Alyeska_Air_Service
ALZ ?? CY Alta_Flights_(Charters)_Ltd.
AMA ADIK UA ATMA
AMF AMFLIGHT K Ameriflight
AMJ AVIATION_AMOS CY Aviation_Amos
AMK AMER_AIR LO Amerer_Air
AMM AEROM LU Aeroputul_International_Marculesti
AMP ATSA SP Aero_Transporte_S.A._(ATSA)
AMQ AMEX EP Aircraft_Management_and_Consulting
AMX AEROMEXICO MM Aeroméxico
AMZ AMIYA_AIR DN Amiya_Airline
BRP AEROBRA UU AeroBratsk
ANH ALAJNIHAH HL Alajnihah_for_Air_Transport
ANM NORAM MM Aerotransportacion_de_Norteamerica
ANO TOPEND YM Airnorth
ANQ ANTIOQUIA SK Aerolínea_de_Antioquia
ANS AEROANDES SA Andes_Líneas_Aéreas
SAP TOBOL UA Avia_Jaynar
EMS SERVIEMPRESARIAL MM Aero_Servicios_Empresariales
AOA ALCON MM Alcon_Servicios_Aéreos,_S.A._de_C.V.
AOC AERO_AVCOM UU AVCOM
AOD AERO_CZECH LK Aero_Vodochody
AOF ATAIR FA Atair_Pty_Ltd.
MUN AEROMUNDO MM Aeromundo_Ejecutivo
MUR MURI MM Aerolínea_Muri
NRP AERONORD LU Aeronord-Grup
AON AERO_ENTERPRISE LF Aero_Entreprise
AOO COMPANY_AS UK As,_Opened_Joint_Stock_Company
AOP AEROPILOTO LP Aeropiloto
VIZ AEROVIZ UK Aerovis_Airlines
VJE ?? OM AvJet_Routing
VGF VISTA_GULF OM Aerovista_Gulf_Express
VER ALMAVER MM Almaver
AOR INTER-AFRO DN Afro_International_Ent._Limited
SMX ALIEXPRESS LI Alitalia_Express
AOT ASIA_OVERNIGHT RP Asia_Overnight_Express
AOV AEROVISION LF Aero_Vision
AOX AEROVALLE SK Aerotaxi_Del_Valle
APC AIRPAC K Airpac_Airlines,_Inc.
SVM SERVIMONTE MM Aeroservicios_Monterrey
APF AMAPOLA ES Amapola_Flyg_AB
APH AIRFLIGHT K Alpha_Aviation,_Inc.
API ASA_PESADA FN ASA_Pesada,_Lda.
APJ AIR_PEACH RJ Peach_Aviation
PET AEROPETRO SK Aerotransporte_Petrolero
BJT BAY_JET K ACM_Aviation
BKL BARCOL UU Aircompany_Barcol
APL APPALACHIAN K Appalachian_Flying_Service,_Inc.
APM ALASKA_PACIFIC K Airpac,_Inc.
APP AEROPERLAS MP Aerolíneas_Pacífico_Atlántico,_S.A._(Apair)
APQ ASPEN_BASE K Aspen_Aviation
APU AEROPUMA MS Aeropuma,_S.A.
APX PARCEL_EXPRESS K Apex_Air_Cargo
APY APA_INTERNACIONAL MD APA_Internacional
AQA ATCO SK Aeroatlas,_S.A.
AQL AQUILA CY Aquila_Air_Ltd.
AQT AVIOQUINTANA MM Aviones_de_Renta_de_Quintana_Roo,_S.A._de_C.V.
AQZ QUANZA K Aerodyne_Charter_Company
ARA ARIK_AIR DN Arik_Air
ARB AVIAIR TN Avia_Air_N.V.
AWT ALBAWINGS LA Albawings
ARG ARGENTINA SA Aerolíneas_Argentinas
ARH ARROWHEAD K Arrowhead_Airways
ARI AEROVICS MM Aero_Vics
ARJ ?? MR Aerojet_de_Costa_Rica,_S.A.
SUN ?? MD Antillana_De_Navegación_Aérea
SUO SERVICIO_SANLUIS MM Aeroservicios_De_San_Luis
SUP AEROSUPER MM Aerosuper
ARK LINK_SERVICE LE Aero_Link_Air_Services_S.L.
ARL AIRLEC LF Airlec_-_Air_Aquitaine_Transport
KLD AIR_KLAIPEDA EY Air_Klaipėda
ARQ ARMSTRONG CY Armstrong_Air,_Inc.
ARS METSERVICE SC Aeromet_Servicios
ART AEROTAL SK Aerotal_Aerolíneas_Territoriales_de_Colombia_Ltda.
ARV ARAVCO EG Aravco_Ltd.
ARW ARIABIRD LF Aria
OST ALANIA UU Airline_Alania
HUC LINEAS_TEHUACAN MM Aerolíneas_de_Techuacán
HUT AEROHUITZILIN MM Aerotransportes_Huitzilin
HUY AERO_HUMAYA MM Aero_Transportes_Del_Humaya
ARY GOSEY K Argosy_Airways
ASA ALASKA K Alaska_Airlines,_Inc.
ASF SCHEFF CY Air_Schefferville,_Inc.
ASG AFRICAN_STAR FA African_Star_Airways_(PTY)_Ltd.
ASI AEROSUN K Aerosun_International,_Inc.
ASM AWESOME FA Awesome_Flight_Services_(PTY)_Ltd.
ASO AERO_NITRA LZ Aero_Slovakia
ASP AIRSPRINT CY Airsprint
